geo,urban_built_volume_2000,urban_built_area_2000,urban_population_2000,urban_built_volume_2005,urban_built_area_2005,urban_population_2005,urban_built_volume_2010,urban_built_area_2010,urban_population_2010,urban_built_volume_2015,urban_built_area_2015,urban_population_2015,urban_built_volume_2020,urban_built_area_2020,urban_population_2020
HKG,13470369876.251047,817685602.5882313,26705012.949058373,16722297578.419527,1062187881.1411699,35403383.22020475,19772944074.8549,1323790483.117651,41317262.630387664,22529615228.991985,1547331349.9098165,46898128.38164989,23725087749.91362,1664958881.4156935,50177626.43266663
HND,662569670.1921566,59437969.90588236,1568878.1288367843,693607512.2470587,63162205.87843138,1785467.5232649504,724696377.6313727,67058912.345098086,2002940.0858322864,760335531.0980393,71331592.46274506,2219609.474957827,892268907.1137264,87449090.42352936,3075081.5158161563
HRV,409171687.1137259,44138330.19215683,1081740.425165851,430268232.85098135,47778679.38823521,1096607.170245843,451752121.1372547,51546940.858823486,1114084.9041809489,467229053.4156866,54282536.650980465,1111671.130238816,485475652.8941177,58115880.043137245,1101452.6514251158
HTI,575109522.2823529,57260294.91372546,2393646.5366472374,617934133.7333343,62091872.388235204,2757628.569809414,677765343.4549001,68963417.45490187,2630855.766080766,746880532.0901968,77302105.3921569,2696580.370278243,848665821.1999984,92983779.32549042,2823705.3996799495
HUN,1398033687.8352897,170094093.98431355,2899795.4778167577,1458156750.364707,180066812.2078434,2886577.6804530695,1548758961.0352917,195995977.27058816,2935475.4759539235,1676284813.862747,218623471.56078464,3060091.3274460817,1711865446.6117606,225424690.74117678,3073082.6295648166
IDN,18779871102.741127,2248122897.0313644,70454543.89861701,20139966739.95299,2455139012.3725476,79881043.53467134,21563623375.53716,2684937799.8980365,89378734.43442674,22804407292.384235,2897179139.584309,98165529.26468782,23057870403.697968,2946098886.3647046,103890588.64746319
IND,39625346547.81172,4175001874.5882325,240557410.50878176,44695485414.38822,4806221658.156865,272432492.52914983,50150672143.71374,5536852066.239215,300816907.5839184,55043789352.556885,6245537886.921571,325753197.18864006,57235492810.92548,6655514680.321562,343745025.62799907
IRL,578372523.7450979,67103818.29803915,1044883.9965942918,608015507.0078425,71218907.69019623,1133317.9597385349,655048703.3647091,78214833.50980401,1256707.0633139012,681961667.1764706,82027899.0352942,1304678.477138421,700578706.8588253,84804705.1372549,1378434.7671145138
IRN,8832714308.77647,924302300.7098037,25472785.728583585,9843339759.023521,1051639668.7019598,28614559.6777639,10748392228.266684,1166426125.7058833,31278252.234587938,11605949741.24313,1278754227.694117,34058087.043118045,12094734933.10587,1345057354.219607,36676972.238700256
IRQ,2803595350.372555,340742600.43137217,10519356.241429184,3225209417.552945,399521166.423529,12672863.970902981,3659611445.8627434,462511476.6078421,14283503.667939778,4099866032.215686,528721425.3450985,17693848.66778527,4401347906.435295,578006809.6745106,20153511.16709339
ISL,61009228.415686265,8756573.756862765,133665.57558982144,64892867.14901978,9482773.172549028,144867.515813136,73625341.69019625,11139207.29803921,172297.56620304988,76915690.49411757,11778868.3372549,177607.31921163714,77059291.26274498,11809345.078431387,198165.73570142413
ISR,1490792412.2235289,126349910.05490196,3374836.8078627796,1737380178.3411765,150964068.8588235,4015759.775211063,1848495603.223532,162837289.8784313,4357714.443686577,1959922550.4196105,175499317.09019616,4838333.661689647,2019781112.8196082,182703835.65098053,5342833.075977987
