,country,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_percapita_tonnesCO2e_2015,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020,urban_ghg_percapita_tonnesCO2e_2020
79,ISR,8763956.046164256,2268150.730358414,3.863921356222817,8279821.510200177,2531085.585823724,3.271253076772419
80,ITA,38572443.32898523,18792723.28203846,2.0525201563443254,37348494.34450878,19512150.68441623,1.9141146944061838
81,JAM,618136.4507287582,458862.23028639547,1.3471068436880345,572774.1125851356,478408.2263420484,1.197249714881822
82,JOR,5148641.947486993,2284375.2866369486,2.253851185313255,5304589.134846369,2541565.7899499233,2.0871342995810807
83,JPN,441449180.26683867,71865468.69939739,6.142716220405592,371921895.4247662,73854746.28419718,5.035856382115105
84,KAZ,41603472.49704109,2459570.449119486,16.914934277216954,48982421.1258067,3001450.1189847044,16.319585261798686
85,KEN,4153009.8094780073,5465106.866277144,0.7599137420540609,5162119.6395223895,6681204.770315382,0.7726330530172801
86,KGZ,1982375.9450451839,1100438.4435765347,1.8014419221871822,2222260.1010268573,1150252.2237683553,1.9319763571040827
87,KHM,1724082.5480438005,1804501.714497442,0.9554341423964574,2919057.543542633,2357942.649137911,1.2379679991834711
88,KOR,104150484.30343404,25754187.115181595,4.044021418250835,108670480.93944257,26881544.45469438,4.042568354753338
89,KWT,32457916.211370286,1334783.5225786832,24.316988981602407,36473719.515507266,1657108.149268347,22.01046415202972
90,LAO,454115.78415981174,361973.1413420094,1.25455657421483,488957.97857866273,414894.7381505138,1.178510917632512
91,LBN,3928394.597755129,3421701.9998438666,1.148082035763016,3893758.6357073104,4590749.362919991,0.8481749553041701
92,LBR,551633.51721228,866962.5154885355,0.6362830080392036,641572.377987666,1018453.7633562669,0.6299474763325477
93,LBY,13227610.74709621,1604884.4721272476,8.242095288991882,11470603.110486062,1926117.8420806178,5.955296638597858
94,LKA,7348492.865151184,2799571.9966260493,2.6248629697708585,9775922.812014097,3145988.949701529,3.107424396052495
95,LSO,126983.31507704633,176603.48480912196,0.7190306307618646,133536.99934851116,183050.7547911372,0.7295080509276143
96,LTU,2650448.599123856,375508.1530906774,7.058298407927851,2685228.897270483,368757.39369345055,7.2818306648048505
97,LVA,2388745.1434471644,340150.4669316003,7.02261315410015,2119566.186849635,374853.3836075627,5.654387233886163
98,MAC,3339168.9081167164,373719.5909191957,8.934958159147454,3961135.19197758,414895.79625734803,9.547301340986836
99,MAR,5873677.27565491,7074910.290353213,0.8302122620075891,6929997.345203992,8107640.545303803,0.8547489625965302
100,MDA,636858.7225788981,282198.83997851517,2.2567729995891708,686161.6935088745,273998.6657920104,2.5042519514665553
101,MDG,643861.7398192501,1051487.8529882375,0.6123339779812489,709833.2502105314,1321337.3003745612,0.5372082132316359
102,MEX,139883379.89521307,56606567.00709394,2.471151092375605,136189880.4002228,63910627.44140785,2.130942628048509
103,MKD,409803.55396968185,151683.96894804787,2.70169324294277,435221.81409735343,152258.6017363422,2.8584382697208985
104,MLI,753565.8962599612,3281865.223509337,0.22961512583206095,1050711.4590702015,4704950.101455961,0.2233204255970867
105,MLT,393499.5252273124,205230.77251123908,1.9173514790807658,378848.53129097144,211830.16207062535,1.7884541445266953
106,MMR,3645764.078467176,5238832.587152978,0.6959115447604809,6123359.429487845,5596362.550392286,1.0941677517048316
107,MNE,81065.92721290133,29764.23870790612,2.723601567923463,86060.52532119211,33175.342553901595,2.594111128810965
108,MNG,7945156.326069347,579290.9902616377,13.71531140589793,10256684.624154575,732657.95617364,13.999281025651948
109,MOZ,1836250.538567625,3023031.7992290305,0.607420186263316,1995472.0289889106,3637422.383540482,0.5485950815111605
110,MRT,705844.8096040508,799015.8792898085,0.8833927183417541,1021674.990069182,1042131.8645120907,0.9803701670205754
111,MUS,654261.610107703,366455.5619648929,1.7853777593103701,562288.5895577959,372017.6672498484,1.5114566835347656
112,MWI,393536.684786326,1330175.1475626766,0.29585328331191285,488919.45883313793,1793461.3878835926,0.2726122023792753
113,MYS,39692093.8967872,9971571.256963825,3.980525523404099,41114696.09730833,11880750.538766898,3.4606143747527605
114,NAM,205670.30556435336,294280.43897426507,0.6988922073150071,274411.6078644826,350551.76097878546,0.7827991138834682
115,NCL,369813.27154121595,44534.03754388867,8.304058916211265,461986.06108049036,49640.012669513744,9.306727299935151
116,NER,243276.8375723907,706046.7147140051,0.34456195674096957,311930.56684688554,963982.3780151185,0.32358534135153394
117,NGA,34548178.28856,32205936.46915262,1.0727270210462851,40170386.53667918,38559877.817917585,1.0417664372892084
118,NIC,728634.3680040693,708394.6117174171,1.0285713018589784,649163.5615538461,738819.7036237804,0.8786494978000902
119,NLD,31881639.43666807,5161460.049694663,6.176864516960485,30110746.40446863,5389908.442871397,5.586504246522517
120,NOR,3214423.620055737,594854.3883982468,5.403715064977758,3137476.7222076254,676270.8559023723,4.6393788743434445
121,NPL,1382781.5118511836,3504258.666566777,0.39460029735930835,1830179.397996947,6631707.736926091,0.27597407343606284
122,NZL,7541133.325877691,1703290.492204906,4.42739119392119,9456711.441528976,1833223.2670674892,5.158515938244871
123,OMN,4727705.905289011,33009.83653178123,143.22112442869167,4932905.654760213,35913.165288786586,137.3564712297985
124,PAK,33259241.674089093,30056585.57878275,1.106554222099237,43402690.147516936,37606712.335354045,1.1541208324853778
125,PAN,1699608.4036368388,1014102.8393698323,1.6759724336172674,2033748.0190535649,1247884.7161906608,1.6297563329903257
126,PER,11581417.579641335,11297708.601292131,1.025112081428331,11360493.105785074,13017714.642079469,0.8726948944680764
127,PHL,15171105.002564203,22050834.467768244,0.6880059357726277,16826092.07379807,24314513.951123655,0.6920184424669727
128,PNG,222081.77437370585,68055.42892634917,3.263248470802334,244356.83771937367,71813.43234714153,3.4026620053219068
129,POL,36821094.30246965,7157740.762811191,5.144234126748148,36281675.99494342,7382230.269079656,4.914731005738007
130,PRI,716628.2567558938,1156156.302535653,0.6198368293146892,631126.4777255578,1140765.5573371125,0.5532481881718058
131,PRK,5582505.749602292,1147208.1927121729,4.866166215571044,8808831.315016177,1195568.4233241384,7.3679022824341995
132,PRT,4791819.140415752,2766750.185557685,1.7319305390955928,4725352.6928464975,2865940.9094066434,1.648796273969522
133,PRY,3010587.818017912,1908067.448895107,1.5778204380360006,3540076.4222953436,2122212.2501250496,1.6681066759871674
134,PSE,4401772.662426274,2463626.1726166783,1.786704781493307,4225892.289054859,2883084.749282696,1.465753752159471
135,QAT,14312306.16759782,1869987.9597422942,7.653688941168487,15180940.970672794,3844046.279213494,3.949208690010587
136,REU,52804.39495432588,49887.53695661227,1.058468671248501,57819.12098459125,63148.50782904432,0.9156054984089127
137,ROU,10761709.08422824,4247189.71475162,2.533842330341393,10622158.205148615,4178377.0790020246,2.542173194116229
138,RUS,370329781.5752205,41048564.664442405,9.021747400975805,395039772.76790166,42266695.451324284,9.346360498488519
139,RWA,506756.2513696371,776520.2317104926,0.6525989029975066,535234.779320217,1049697.898234345,0.5098941135544942
140,SAU,150204074.47577605,3444432.166496239,43.607789968053666,158399276.27458715,4749891.922243734,33.34797483134378
141,SDN,4828025.003993837,2408456.5293522147,2.004613720511035,5475956.504490627,3031093.885160139,1.806594157739631
142,SEN,1692030.2358540318,2633995.584796202,0.6423815763476111,2346029.489309411,3110170.899919745,0.7543088675191283
143,SGP,30380813.922160223,2942555.345653591,10.324636363096896,31236744.803709112,3294825.436445016,9.480546209881243
144,SLE,420228.74835177074,1173338.062515766,0.35814805790136395,441412.5934011693,1362096.475469473,0.32406852330267416
145,SLV,640401.5433032913,930630.6829830221,0.6881371472199509,701580.9008193377,957445.5670285359,0.7327632243331779
146,SOM,627622.3637273107,490958.6199222823,1.2783610232297418,813053.2650294646,561821.2454733829,1.4471742953479751
147,SRB,1455974.2913569082,1339488.4846595342,1.0869629026538306,1500157.6015172238,1367458.5496434812,1.0970406393000647
148,SSD,250983.79952512548,9599.743836344463,26.14484342539487,280685.1369031579,11932.18136283078,23.523371659225976
149,SUR,435387.6306745856,161389.7903980576,2.6977396129007283,371970.19610267814,173250.51980703705,2.1470076771889115
150,SVK,6875583.566933535,379757.32236286026,18.105203407674853,5844228.557724701,375970.01682440506,15.54440060696175
151,SVN,910492.7662692803,214866.9853581259,4.237471683943124,878885.8868503594,227085.72389260778,3.870282428084284
152,SWE,8612261.739866927,1946175.6745101234,4.425223196788101,9099582.79968057,2186205.113180636,4.162273130192205
153,SYR,3801483.06166469,4841967.2938181525,0.7851112638695696,3705980.564516713,5473805.627952864,0.6770391234923524
154,TCD,383168.5455155384,525166.9458975749,0.7296128374200251,525019.0824693784,672088.40694985,0.7811756266591194
155,TGO,886384.5094052913,1499367.0404470433,0.591172465109685,1032966.4952397327,2062064.23887137,0.5009380773729466
156,THA,71097732.3823042,14946898.357991574,4.756688021785521,90247606.35624683,17919799.652486376,5.036195052756907
157,TJK,725070.4122721803,1135886.4960869472,0.6383299869925378,1142796.3046476548,1283134.1028322037,0.8906288922765067
158,TKM,8004207.479380553,807618.8171552714,9.910872938268447,7881361.604766205,1044095.458709178,7.5485067376023105
159,TLS,27159.661000720433,176706.22387543815,0.15369951552960312,26007.684139549554,233984.70913628972,0.11115121255381173
160,TUN,6150790.182055882,2573263.97928188,2.390267858866303,5944938.512426905,2852766.0839415966,2.083920776362053
161,TUR,58877030.455561295,24960864.878581386,2.358773653956316,66798535.36406055,29095983.308031574,2.2957992055770005
162,TWN,85433914.37760454,12862851.792682987,6.641910810649587,80052757.04152845,13527673.958181757,5.917703020415511
163,TZA,4819682.144473778,7350463.094897293,0.6556977543115089,5463757.415728892,9453795.680568753,0.5779432516146981
164,UGA,1540750.779706256,2744266.008122892,0.5614436702366715,2490176.014281606,3420666.9432869647,0.7279796763518761
165,UKR,45839309.901757844,10850210.984453218,4.224739036636149,38872238.31655801,10846989.047494378,3.583689275093108
166,URY,5866105.286576521,1375171.6937972729,4.265725736673939,6017933.425581319,1412524.6053892644,4.260409625871893
167,USA,947243851.5782149,146018794.48529238,6.487136501278438,929811665.8285135,156831190.5136269,5.9287419982170135
168,UZB,21728155.88490633,2983359.8974946802,7.283115893309708,26017346.594352297,3768453.757936079,6.903984569151666
169,VAT,4015851.4882129678,620.1342856884003,6475.777232273234,3610639.017917077,635.1771292686462,5684.460053016122
170,VEN,22190099.049997766,6631636.2753794575,3.346097121215844,13797029.959684582,7412169.525362411,1.8614023751716595
171,VNM,36875339.160881765,18736594.884720717,1.9680918217937666,41465121.21396549,22020088.05991961,1.8830588279725922
172,YEM,645783.9796188128,2281585.586385879,0.28304175108406077,609767.5834118442,2647688.0231313496,0.2303019004069401
173,ZAF,60910019.13187071,18709339.437779542,3.2555943161133656,59512962.444856286,22080240.710069552,2.695304060599112
174,ZMB,2131925.5987284523,2384951.5897645927,0.8939072842727531,2675071.6401130673,3107593.806670256,0.8608176636120182
175,ZWE,1676553.0839352931,1568249.1732614054,1.069060397110654,1883100.6459067021,1753486.357575059,1.0739180477633656
